control-bash base warmup 96.9 ms
control-bash candidate warmup 85.5 ms
pi-busy base warmup 5777.2 ms
pi-busy candidate warmup 1860.5 ms
control-powershell base warmup 833.2 ms
control-powershell candidate warmup 787.9 ms
copilot-busy base warmup 5737.5 ms
copilot-busy candidate warmup 6603.3 ms
pi-idle base warmup 4210.8 ms
pi-idle candidate warmup 1985.3 ms
copilot-idle base warmup 7143.9 ms
copilot-idle candidate warmup 5890.4 ms
pi-progress base warmup 3469.9 ms
pi-progress candidate warmup 1420.9 ms
pi-busy candidate warmup 3430.5 ms
pi-busy base warmup 2141.7 ms
control-powershell candidate warmup 613.4 ms
control-powershell base warmup 301.0 ms
copilot-busy candidate warmup 4888.6 ms
copilot-busy base warmup 6236.9 ms
pi-idle candidate warmup 2669.1 ms
pi-idle base warmup 2969.0 ms
copilot-idle candidate warmup 6807.3 ms
copilot-idle base warmup 8429.0 ms
pi-progress candidate warmup 1051.1 ms
pi-progress base warmup 1949.9 ms
control-bash candidate warmup 99.6 ms
control-bash base warmup 60.1 ms
control-powershell base warmup 349.2 ms
control-powershell candidate warmup 501.8 ms
copilot-busy base warmup 5558.2 ms
copilot-busy candidate warmup 6799.5 ms
pi-idle base warmup 3568.0 ms
pi-idle candidate warmup 2225.0 ms
copilot-idle base warmup 9571.6 ms
copilot-idle candidate warmup 5873.3 ms
pi-progress base warmup 3102.7 ms
pi-progress candidate warmup 1462.7 ms
control-bash base warmup 121.7 ms
control-bash candidate warmup 148.7 ms
pi-busy base warmup 1514.3 ms
pi-busy candidate warmup 3943.9 ms
copilot-busy candidate sample 1 5308.5 ms
copilot-busy base sample 1 4131.9 ms
pi-idle candidate sample 1 5992.1 ms
pi-idle base sample 1 4106.7 ms
copilot-idle candidate sample 1 11594.2 ms
copilot-idle base sample 1 11577.9 ms
pi-progress candidate sample 1 2743.1 ms
pi-progress base sample 1 5227.6 ms
control-bash candidate sample 1 308.1 ms
control-bash base sample 1 799.7 ms
pi-busy candidate sample 1 16548.8 ms
pi-busy base sample 1 6239.1 ms
control-powershell candidate sample 1 1605.2 ms
control-powershell base sample 1 636.4 ms
pi-idle base sample 2 2745.6 ms
pi-idle candidate sample 2 3906.0 ms
copilot-idle base sample 2 3250.1 ms
copilot-idle candidate sample 2 5688.8 ms
pi-progress base sample 2 1782.4 ms
pi-progress candidate sample 2 1370.8 ms
control-bash base sample 2 82.9 ms
control-bash candidate sample 2 446.9 ms
pi-busy base sample 2 3356.7 ms
pi-busy candidate sample 2 1924.7 ms
control-powershell base sample 2 290.0 ms
control-powershell candidate sample 2 284.3 ms
copilot-busy base sample 2 5272.3 ms
copilot-busy candidate sample 2 3635.3 ms
copilot-idle candidate sample 3 5534.4 ms
copilot-idle base sample 3 7161.4 ms
pi-progress candidate sample 3 1487.1 ms
pi-progress base sample 3 1942.5 ms
control-bash candidate sample 3 115.5 ms
control-bash base sample 3 99.0 ms
pi-busy candidate sample 3 4288.7 ms
pi-busy base sample 3 2563.9 ms
control-powershell candidate sample 3 785.1 ms
control-powershell base sample 3 1630.8 ms
copilot-busy candidate sample 3 3622.4 ms
copilot-busy base sample 3 5599.0 ms
pi-idle candidate sample 3 2400.4 ms
pi-idle base sample 3 2254.0 ms
pi-progress base sample 4 1402.7 ms
pi-progress candidate sample 4 1744.7 ms
control-bash base sample 4 458.1 ms
control-bash candidate sample 4 846.0 ms
pi-busy base sample 4 3230.6 ms
pi-busy candidate sample 4 2781.0 ms
control-powershell base sample 4 309.6 ms
control-powershell candidate sample 4 675.4 ms
copilot-busy base sample 4 5841.0 ms
copilot-busy candidate sample 4 5027.7 ms
pi-idle base sample 4 4210.3 ms
pi-idle candidate sample 4 1787.2 ms
copilot-idle base sample 4 6191.5 ms
copilot-idle candidate sample 4 7462.7 ms
control-bash candidate sample 5 84.4 ms
control-bash base sample 5 112.4 ms
pi-busy candidate sample 5 2294.9 ms
pi-busy base sample 5 3284.1 ms
control-powershell candidate sample 5 298.0 ms
control-powershell base sample 5 674.9 ms
copilot-busy candidate sample 5 6285.6 ms
copilot-busy base sample 5 5592.7 ms
pi-idle candidate sample 5 4204.9 ms
pi-idle base sample 5 2381.2 ms
copilot-idle candidate sample 5 5279.2 ms
copilot-idle base sample 5 5491.0 ms
pi-progress candidate sample 5 2483.1 ms
pi-progress base sample 5 1638.1 ms
pi-busy base sample 6 3751.5 ms
pi-busy candidate sample 6 1733.0 ms
control-powershell base sample 6 292.7 ms
control-powershell candidate sample 6 459.5 ms
copilot-busy base sample 6 5845.7 ms
copilot-busy candidate sample 6 8950.1 ms
pi-idle base sample 6 4369.7 ms
pi-idle candidate sample 6 1978.8 ms
copilot-idle base sample 6 7599.5 ms
copilot-idle candidate sample 6 7974.2 ms
pi-progress base sample 6 2734.5 ms
pi-progress candidate sample 6 2751.3 ms
control-bash base sample 6 105.1 ms
control-bash candidate sample 6 160.6 ms
control-powershell candidate sample 7 411.7 ms
control-powershell base sample 7 753.3 ms
copilot-busy candidate sample 7 8539.1 ms
copilot-busy base sample 7 6441.8 ms
pi-idle candidate sample 7 2379.7 ms
pi-idle base sample 7 3918.5 ms
copilot-idle candidate sample 7 7606.5 ms
copilot-idle base sample 7 8245.3 ms
pi-progress candidate sample 7 1739.5 ms
pi-progress base sample 7 2718.3 ms
control-bash candidate sample 7 897.9 ms
control-bash base sample 7 97.2 ms
pi-busy candidate sample 7 2133.6 ms
pi-busy base sample 7 4365.5 ms
copilot-busy base sample 8 6687.3 ms
copilot-busy candidate sample 8 7024.8 ms
pi-idle base sample 8 5030.1 ms
pi-idle candidate sample 8 2671.0 ms
copilot-idle base sample 8 7999.1 ms
copilot-idle candidate sample 8 10937.5 ms
pi-progress base sample 8 1605.5 ms
pi-progress candidate sample 8 1279.4 ms
control-bash base sample 8 484.4 ms
control-bash candidate sample 8 162.9 ms
pi-busy base sample 8 4587.0 ms
pi-busy candidate sample 8 2344.8 ms
control-powershell base sample 8 311.2 ms
control-powershell candidate sample 8 2084.6 ms
pi-idle candidate sample 9 2941.1 ms
pi-idle base sample 9 2549.5 ms
copilot-idle candidate sample 9 6823.8 ms
copilot-idle base sample 9 7639.4 ms
pi-progress candidate sample 9 2615.1 ms
